here_api_id,placeName,city,county,street,houseNumber,coordinates
here:pds:place:804u8vwz-5255245980de44c2b03bbf4f778112ea,Києво-Печерська Лавра,Київ,Київська область,Лаврська вулиця,25,"{""lat"": 50.43517, ""lng"": 30.5574}"
here:pds:place:804u8c5d-3af5f4b049474f9c8ca583fec9d37e00,Каплиця Боїмів,Львів,Львівська область,Катедральна площа,1,"{""lat"": 49.84074, ""lng"": 24.0309}"
here:pds:place:804u9131-225cb1c386c6ca3bff07c520ef658584,Собор Успіння,Володимир-Волинський,Волинська область,Соборна вулиця,,"{""lat"": 50.84356, ""lng"": 24.31544}"
here:pds:place:804u8c5d-70ef6efda326244b1bdad8b3ff6348f6,Чорний Будинок,Львів,Львівська область,Братів Рогатинців вулиця,,"{""lat"": 49.84028, ""lng"": 24.03225}"
here:pds:place:804u8c5d-3ed00ca3ea02b88d4521ef2c81aea566,Львівський Історичний Музей - Палац Бандінеллі,Львів,Львівська область,Ринок площа,6,"{""lat"": 49.84215, ""lng"": 24.03259}"
here:pds:place:804u8c5d-867b88bcf691dcb94fed229fb2c85447,Палац Корнякт,Львів,Львівська область,Ринок площа,6,"{""lat"": 49.84215, ""lng"": 24.03258}"
here:pds:place:804aabd1-5b7f3310f72e0af87a33c4cbbfc07a4d,Палац Любомирських,Львів,Львівська область,Ринок площа,10,"{""lat"": 49.84172, ""lng"": 24.0328}"
here:pds:place:804u8c5d-0826cd2338b94243a6072ac2620322ef,Львівська Міська Рада,Львів,Львівська область,Ринок площа,1,"{""lat"": 49.84181, ""lng"": 24.03168}"
here:pds:place:804u8c5d-140053fa7c8d457bb7bd706c4ba66b31,Центр Надання Адміністративних Послуг М.Львів,Львів,Львівська область,Ринок площа,1,"{""lat"": 49.84185, ""lng"": 24.03171}"
here:pds:place:804u8c5d-3f5b98129ba74707a03651ac7810e22d,Управління Освіти Дгп Львівської Міської Ради,Львів,Львівська область,Ринок площа,9,"{""lat"": 49.84192, ""lng"": 24.03307}"
here:pds:place:804u8c5e-f00ea7c87a85423180bcfeedeeded672,Департамент Освіти І Науки Лода Офіційна Сторінка,Львів,Львівська область,Просвіти вулиця,4,"{""lat"": 49.84209, ""lng"": 24.03897}"
here:pds:place:804jx7ps-10c85c05ab9204166f57f3a4304f8679,Шевченківська Райдержадміністрація м Львів,Львів,Львівська область,В'ячеслава Липинського вулиця,11,"{""lat"": 49.85815, ""lng"": 24.02274}"
here:pds:place:804u8c53-84cfb8ba1ec147b1bf574909a58f7351,Цнап Залізничний район М Львів,Львів,Львівська область,Івана Виговського вулиця,32,"{""lat"": 49.82565, ""lng"": 23.96673}"
here:pds:place:804u8c5d-e8039bda655e4a20b816c3aab9ea4da7,Успенська Церква,Львів,Львівська область,Підвальна вулиця,9,"{""lat"": 49.84293, ""lng"": 24.03472}"
here:pds:place:804u8c5d-b309320dd9d5476f9707f88270b95af5,Арсенал музей,Львів,Львівська область,Підвальна вулиця,5,"{""lat"": 49.84126, ""lng"": 24.03529}"
here:pds:place:804u8c5d-340e4a9e0b927315486d8fe51e125272,Порохова Вежа,Львів,Львівська область,Вірменська вулиця,,"{""lat"": 49.84313, ""lng"": 24.03029}"
here:pds:place:804u8vxn-b8eb4a45c7a04b3999254cac84e1d6ed,Музей Історії Михайлівського Золотоверхого Монастиря,Київ,Київська область,Трьохсвятительська вулиця,6,"{""lat"": 50.45536, ""lng"": 30.52245}"
